author_login,anomaly_score,is_anomaly,risk_level,reconstruction_error,lstm_anomaly,lstm_risk,final_anomaly,final_risk
DonJayamanne,0.058090334809838995,0,Normal,2.00386381149292,1,High Risk,1,MEDIUM RISK
Giuspepe,-0.059258916599208344,1,High Risk,2.1217525005340576,1,High Risk,1,HIGH RISK
TylerLeonhardt,0.06779562653727828,0,Normal,0.8363359570503235,0,Normal,0,NORMAL
aaronpowell,0.16430095249956422,0,Normal,0.7963076829910278,0,Normal,0,NORMAL
aeschli,0.06319603347632535,0,Normal,0.7003579139709473,0,Normal,0,NORMAL
alexdima,0.11215042992255514,0,Normal,0.3637275993824005,0,Normal,0,NORMAL
alexr00,0.15550284321337443,0,Normal,1.0476714372634888,0,Normal,0,NORMAL
anthonykim1,0.12652615685697643,0,Normal,1.1377179622650146,0,Normal,0,NORMAL
benibenj,-0.02617414545308916,1,Medium Risk,1.1650729179382324,0,Normal,1,MEDIUM RISK
benvillalobos,0.018780406566194396,0,Medium Risk,0.7939257025718689,0,Normal,0,NORMAL
bhavyaus,0.1419386800549997,0,Normal,0.7008509039878845,0,Normal,0,NORMAL
connor4312,-0.017274893101310584,1,Medium Risk,0.8021397590637207,0,Normal,1,MEDIUM RISK
cwebster-99,0.15069104040422926,0,Normal,0.6102533340454102,0,Normal,0,NORMAL
dependabot[bot],0.15632916088804522,0,Normal,1.0263514518737793,0,Normal,0,NORMAL
dileepyavan,0.031559817728304074,0,Medium Risk,0.8689061999320984,0,Normal,0,NORMAL
dmitrivMS,0.03367442252813535,0,Medium Risk,1.1260063648223877,0,Normal,0,NORMAL
eleanorjboyd,0.1568276307437912,0,Normal,0.9127596616744995,0,Normal,0,NORMAL
gjsjohnmurray,0.0658101860498711,0,Normal,1.361314296722412,0,Normal,0,NORMAL
hediet,0.12465695912618069,0,Normal,1.0796304941177368,0,Normal,0,NORMAL
joaomoreno,0.04700474387251996,0,Medium Risk,0.9974168539047241,0,Normal,0,NORMAL
joshspicer,0.02637739362766156,0,Medium Risk,0.9830769300460815,0,Normal,0,NORMAL
jruales,0.11370543511827702,0,Normal,0.9115340709686279,0,Normal,0,NORMAL
justschen,0.019804452193378896,0,Medium Risk,0.8655583262443542,0,Normal,0,NORMAL
kycutler,0.04450058687479985,0,Medium Risk,0.35126808285713196,0,Normal,0,NORMAL
lramos15,0.15507882288730163,0,Normal,0.28794533014297485,0,Normal,0,NORMAL
lszomoru,0.14561691305780267,0,Normal,0.30674460530281067,0,Normal,0,NORMAL
meganrogge,0.09919770065428285,0,Normal,0.5026370882987976,0,Normal,0,NORMAL
mrleemurray,0.1546024405668684,0,Normal,0.4778308868408203,0,Normal,0,NORMAL
pwang347,0.057041594143592944,0,Normal,0.9450259804725647,0,Normal,0,NORMAL
rfeltis,0.14817000752943316,0,Normal,0.9268214702606201,0,Normal,0,NORMAL
roblourens,0.004318723275327674,0,Medium Risk,1.3629491329193115,0,Normal,0,NORMAL
romalpani,0.17351138646814823,0,Normal,0.962915301322937,0,Normal,0,NORMAL
sandy081,-0.021805858611364637,1,Medium Risk,0.9898951053619385,0,Normal,1,MEDIUM RISK
ulugbekna,0.15569265081107964,0,Normal,0.6864489316940308,0,Normal,0,NORMAL
vijayupadya,0.08853331364378947,0,Normal,0.6419249773025513,0,Normal,0,NORMAL
vritant24,0.05251312351529558,0,Normal,0.5647538900375366,0,Normal,0,NORMAL
vs-code-engineering[bot],0.10254509531517947,0,Normal,0.3890500068664551,0,Normal,0,NORMAL
yavanosta,0.15268591081009347,0,Normal,0.0,0,Normal,0,NORMAL
yulia-vasyura,0.13196814135144191,0,Normal,0.0,0,Normal,0,NORMAL
