login,total_commits,followers,public_repos,account_age_days
jrieken,12778,1222,73,5138
Tyriar,12519,2764,160,5055
joaomoreno,8941,1504,172,6509
sandy081,8933,1156,91,4165
alexdima,7947,1082,31,4723
roblourens,6458,796,133,5833
isidorn,6165,444,18,5102
aeschli,5207,469,80,4537
rebornix,5127,1380,163,5477
meganrogge,4890,434,43,3296
connor4312,3259,1103,259,5049
alexr00,2771,647,41,2997
lszomoru,2593,754,38,4899
hediet,2575,1751,130,4954
benibenj,1733,77,10,2800
sbatten,1664,105,61,4526
mjbvz,1587,1391,198,4033
aiday-mar,1582,255,34,2311
TylerLeonhardt,1446,1205,238,4991
chrmarti,1407,993,95,4272
lramos15,1243,154,23,4776
bpasero,1216,3021,135,5466
DonJayamanne,1201,2136,229,5097
weinand,1164,199,6,5110
mrleemurray,1125,18,23,3430
dbaeumer,1089,480,36,5102
osortega,1022,34,64,2667
amunger,905,66,21,5086
joyceerhl,899,387,43,3262
rzhao271,896,150,37,4462
